"titre";"auteur";"annee_creation";"lieu_exposition";"naissance_deces";"domaine";"technique";"hauteur_cm";"longueur_cm";"annee_acquisition";"type_acquisition";"precisions_acquisitions";"numero_inventaire";"lien_navigart"
"Etude de figure féminine - Naples";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon et rehauts de craie blanche sur papier gris";43.4;25.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"2016.0.68.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144297"
"Saint-Séverin";"Auguste Louis LEPÈRE";NA;"";"1849, Paris (France) - 1918, Domme (Dordogne, France)";"Dessin";"Pierre noire, fusainavec rehautscraie blanche sur papier brun contrecollé sur papier";28.6;20.1;1902;"Don";"Don de M Lotz-Brissonneau en 1902";"1554";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008063"
"Un militaire en tenue de sortie";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon, papier blanc";24;18;NA;"Mode d'acquisition non renseigné";"Acquisition";"4090";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065016"
"La Jeune mère";"Jean-Louis HAMON";1863;"";"1821, Plouha (Côtes-d'Armor, France) - 1874, Saint-Raphaël (Var, France)";"Peinture";"Dans un fauteuil capitonné de soie brochée bleue, une jeune femme en corsage blanc et en robe grise est étendue, tenant sur elle un bébé endormi, vêtu d'une robe blanche et coiffé d'un bonnet vert. Derrière elle, à gauche, un berceau avec une couverture rose.Huile sur toile";73.5;92;NA;"Dépôt Etat";"AcquisitionEtatDépôt au Musée des Beaux-Arts de Nantes en 1863";"1017 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004190"
"Homme barbu, marchant vers la gauche, haut du corps penché";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";33;23;NA;"Mode d'acquisition non renseigné";"Acquisition";"5998";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007826"
"Etude pour Apollon chevauchant Pégase";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Encre sur calque";12.7;13.8;1897;"Legs";"Legs de L Delaunay en 1897";"5332";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007109"
"Vierge, assise, tenant Jésus, assis sur ses genoux";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine et de plomb et aquarelle sur papier";22;14.4;NA;"Mode d'acquisition non renseigné";"Acquisition";"5543";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069356"
"Saint François de Sales bénit Sainte Jeanne de Chantal";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier calque";14.8;10.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5233";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068446"
"Femme âgée assise, visage de face, bonnet sur la tête, bras gauche sur l'accoudoir";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";11.3;9.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"5699";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069752"
"Etude d'arbre";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon sur papier rabouté";17.5;38.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"2016.0.46.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144275"
"Carnet n°11";"Jules Elie DELAUNAY";1857;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Carnet cousu, couverture en maroquin, mine de plomb, encre brune, fusain";20.5;13.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"récolement en cours";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000050265"
"Poertrait de la famille Lallemant";"TOURNIÈRES (Robert LE VRAC, dit)";1725;"Musée d'Arts - Palais - Salle 9";"1668, Caen (Calvados, France) - 1752, Caen (Calvados, France)";"Peinture";"Huile sur bois";NA;NA;1810;"Achat";"Achat à M François Cacault en 1810";"722";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004936"
"Ruines sur un promontoire";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume, crayon et craie - papier dessin bis";23;28.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"4545";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007629"
"Tête d'homme, profil à gauche, d'après la fresque de Ph. Lippi";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";6.3;7;NA;"Mode d'acquisition non renseigné";"Acquisition";"sans inv.";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007656"
"Etude du nautonier";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon fusain sur papier à dessin";44.2;27.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4406";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065252"
"Fleur des champs";"MORIN-JEAN (Jean Alexis MORIN, dit)";1935;"";"1877, Paris (France) - 1940, Paris (France)";"Estampe";"Gravure au burin sur papier";56.8;39.1;1951;"Don";"Don de Mlle Germaine Sauvaget-Morin-Jean en 1951";"6243";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002814"
"La lecture d'Aristote";"Emmanuel PHELIPPES-BEAULIEUX";1862;"";"1819, Nantes (Loire-Atlantique, France) - 1874, Nantes (Loire-Atlantique, France)";"Estampe";"Eau-forte sur papier";6.3;4.3;1948;"Don";"Don de M Michel Noury en 1948";"3480";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005821"
"Sujet debout de 3/4, tête de profil";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";16.5;9.1;NA;"Mode d'acquisition non renseigné";"Acquisition";"4232";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007065"
"Deux personnages morts ou agonisants";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"mine de plomb sur papier";9.1;13;NA;"Mode d'acquisition non renseigné";"Acquisition";"5388";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007243"
"La pointe du Raz";"Maxime MAUFRA";1895;"";"1861, Nantes (Loire-Atlantique, France) - 1918, Poncé-sur-le-Loir (Sarthe, France)";"Peinture";"A gauche, les vagues déferlent parmi les rochers qui s'avancent de la droiteHuile sur toile";60.4;73.5;NA;"Dépôt Fonds national d'art contemporain";"Achat en 1896Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes en 1897";"1038";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002676"
"Château de Lucinière (Près de Nort)";"Félix BENOIST";NA;"";"1818, Saumur (Maine-et-Loire, France) - 1896, Nantes (Loire-Atlantique, France)";"Estampe";"Série : Nantes et la Loire-InférieureLithographie sur papier Canson";19.9;29;NA;"Dépôt Etat";"Acquisition en 1876EtatDépôt au Musée des Beaux-Arts de Nantes en 1876";"3254 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005659"
"Femme debout de 3/4 gauche, penchée, les deux bras un peu en avant";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";31.2;21.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"6076";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069827"
"Petit pêcheur, de face, tête baissée, les mains tirent la ligne";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";25.8;18.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4745";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066288"
"Saint Jean-Baptiste";"Guido RENI";NA;"Musée d'Arts - Palais - Salle 2";"1575, Bologne (Italie) - 1642, Bologne (Italie)";"Peinture";"Huile sur toile";154.1;117;NA;"Dépôt Etat";"AcquisitionEtatDépôt au Musée des Beaux-Arts de Nantes en 1804";"84";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004744"
"Trafalgar Tavern à Greenwich";"James TISSOT";1878;"";"1836, Nantes (Loire-Atlantique, France) - 1902, Buillon (Doubs)";"Estampe";"Estampe, EpreuveEau-forte sur papier";35.5;25.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"3857 (b)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000117348"
"Diane, à demi assise, appuyée sur le bras droit";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier glacé";26.7;20.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"5424";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068871"
"Le moulin sans ailes";"MORIN-JEAN (Jean Alexis MORIN, dit)";NA;"";"1877, Paris (France) - 1940, Paris (France)";"Estampe";"Gravure sur bois sur papier japonais fin";26.5;39.2;1951;"Don";"Don de Mlle Germaine Sauvaget-Morin-Jean en 1951";"951.4.44.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002857"
"Héro et Léandre";"Emmanuel PHELIPPES-BEAULIEUX";1859;"";"1819, Nantes (Loire-Atlantique, France) - 1874, Nantes (Loire-Atlantique, France)";"Estampe";"Eau-forte sur papier";15.7;12.2;1948;"Don";"Don de M Michel Noury en 1948";"3458";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005799"
"Etude de femme debout";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb, papier jaune";26.4;16.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4081";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065007"
"Confession du Giaour";"Louis d' ANTHOINE";1843;"";"1814, Beaucaire (Gard, France) - 1852, ?";"Peinture";"Le Giaour mourant est couché sur un lit, accoudé sur le bras gauche, et le moine confesseur, assis à droite, lui montre le ciel - Sujet tiré de Lord BYRON, le GiaourHuile sur toile";128;165;1843;"Achat en salon";"Achat en salon Comte de Chambord, par l'entremise de M Dupré de la Roussière - Lithographié par Baron en 1843";"792";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004032"
"Quai Baco à Nantes";"Alcime SINAN";NA;"";"1875, Nantes (Loire-Atlantique, France) - 1947, Le Mans (Sarthe, France)";"Estampe";"";24;31.3;1935;"Don";"Don de l'artiste en 1935";"3132";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003397"
"Femme métisse nue";"Louis-Robert ANTRAL";NA;"";"1895, Châlons-sur-Marne (Marne, France) - 1939, Paris (France)";"Dessin";"Pierre noire, craie brune et jaune, sanguine sur papier";64.6;48.8;1975;"Don";"Don de la Société des amis du Musée des Beaux-Arts de Nantes en 1975";"975.14.1.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001183"
"Sainte Geneviève";"Nicolas-Auguste GALIMARD";NA;"";"1813, Paris (France) - 1880, Montigny-lès-Cormeilles (Val-d'Oise, France)";"Dessin";"";81;61;1906;"Don";"Don M Jean Laronze en 1906";"1520";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007414"
"Etude de trois têtes d'homme";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";17.9;23;NA;"Mode d'acquisition non renseigné";"Acquisition";"sans inv.";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000052700"
"Pêche de nuit au chien de mer";"Ludovic-Napoléon LEPIC";1875;"";"1839, Paris (France) - 1889, Paris (France)";"Peinture";"La scène se passe à la nuit tombante ; deux bateaux de pêche sur la mer.Huile sur toile";131;151;1879;"Don";"Don de l'artiste en 1879";"1073";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004229"
"La """"Fortune"""" vue de dos et Mercure";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";25;17.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"5033";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067498"
"Hôtel des voyageurs";"Jean-Emile LABOUREUR";1925;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier BFK Rives";25;32.8;1928;"Achat";"Achat à l'artiste en 1928";"2573";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002261"
"Vue de Rome prise depuis le Colisée";"Gustave BOURGEREL";1844;"";"1813, Nantes (Loire-Atlantique, France) - 1882, Nantes (Loire-Atlantique, France)";"Dessin";"Craie blanche et mine de plomb";29;46.5;1897;"Mode d'acquisition non renseigné";"Mode d'acquisition non renseigné en 1897";"1288";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007486"
"Pâris tenant la pomme qu'il va donner à Vénus";"Bernard-Gabriel SEURRE dit SEURRE AÎNÉ";1819;"";"1795, Paris (France) - 1867, Paris (France)";"Sculpture";"Historique : copie d’antique exécutée d’après sans doute un moulage (non localisé dans les collections italiennes) effectué d’après un original romain en marbre (J. Paul Getty Museum de Malibu, USA ), conservé à l’époque et depuis longtemps déjà, en Angleterre (communication écrite en 1993, de Peggy Fogelman, conservateur-adjoint au musée)Marbre";140.8;NA;NA;"Dépôt Etat";"Achat à l'artisteprobable « E nvoi deRome » exécuté à une date indéterminée, vers 1819 ; propriété de l’État ; en 1833EtatDépôt au Musée des Beaux-Arts de Nantes en 1833";"1693 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004896"
"Homme accroupi, serré dans son manteau, tête chevelue tournée à droite";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";13;10;NA;"Mode d'acquisition non renseigné";"Acquisition";"5360";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068817"
"Groupe de plusieurs personnages debout levant les mains vers un temple";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";15.3;10.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4865";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067331"
"Etude du Christ, debout, tourné vers la gauche, tient une couronne";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb - papier calque collé";36.9;22;NA;"Mode d'acquisition non renseigné";"Acquisition";"1398";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064055"
"La pêche au clair de lune";"Emmanuel PHELIPPES-BEAULIEUX";1860;"";"1819, Nantes (Loire-Atlantique, France) - 1874, Nantes (Loire-Atlantique, France)";"Estampe";"Eau-forte sur papier";27.7;33.5;1948;"Don";"Don de M Michel Noury en 1948";"3466";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005807"
"Femme jouant de l'alto";"Amédée de LA PATELLIÈRE (Amédée DUBOIS DE LA PATELLIÈRE, dit)";1921;"";"1890, Vallet (Loire-Atlantique, France) - 1932, Paris (France)";"Dessin";"Mine graphite sur papier";32.9;25.7;1981;"Don";"Don de Suzanne et Yves de La Patellière en 1981";"981.11.5.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002367"
"Madame de Boishéraud";"Sébastien de BOISHÉRAUD";1892;"";"1847, Maisdon-sur-Sèvre (Loire-Atlantique, France) - 1927, La Montagne (Loire-Atlantique, France)";"Sculpture";"BustePlâtre";72;50;1938;"Don";"Don de Mme G de Boishéraud en 1938";"2354";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001304"
"La Vierge et l'enfant";"MORIN-JEAN (Jean Alexis MORIN, dit)";NA;"";"1877, Paris (France) - 1940, Paris (France)";"Estampe";"Gravure sur bois en couleurs sur papier japonais";23.4;20;1951;"Achat";"Achat à M Marcel Guiot en 1951";"951.1.2.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002803"
"L'enterrement au marais";"Auguste Louis LEPÈRE";NA;"";"1849, Paris (France) - 1918, Domme (Dordogne, France)";"Estampe";"Eau-forte sur papier velin";26.1;38.2;1952;"Legs";"Legs de M DevilleEchange avec Massignon Massart (?) en 1952";"6371";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008265"
"Nancy, place de la Carrière";"Henry Wilfrid DEVILLE";1924;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier vergé";22.4;32.6;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3709";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082149"
"La Cité vue du Pont des Arts";"Henry Wilfrid DEVILLE";1938;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";26.6;36.5;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3771";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142449"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°36Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136351"
"Les signaux";"Emmanuel PHELIPPES-BEAULIEUX";1862;"";"1819, Nantes (Loire-Atlantique, France) - 1874, Nantes (Loire-Atlantique, France)";"Estampe";"Eau-forte sur papier";5;8.7;1948;"Don";"Don de M Michel Noury en 1948";"3486";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005827"
"Illustration pour Notre-Dame de Paris de V. Hugo";"Luc-Olivier MERSON";1888;"";"1846, Paris (France) - 1920, Paris (France)";"Estampe";"Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné";28;22.4;1925;"Don";"Don de Héritiers Merson en 1925";"2720";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143185"
"Esquisse pour le plafond de l'Opéra-Comique";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Mine de plomb, pierre noire, plume et encre, gouache blanche, lavis sur papier rose";43.2;27.2;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.38.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003894"
"Un homme, une femme à terre, l'homme tient la femme penchée sur un bébé mort";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier calque";11;15.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5362";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068819"
